topic,explanation
innovative cars,innovative cars
secular democracy,"Secularism is the principle of seeking to conduct human affairs based on secular, naturalistic considerations. It is most commonly defined as the separation of religion from civic affairs and the state -- which in accordance with religious pluralism defines secularism as neutrality (of the state or non-sectarian institution) on issues of religion as opposed to total opposition of religion in the public square as a whole --, while other views may broaden it to a position concerning the need to remove or minimalize the role of religion in any public sphere.[1] The term has a broad range of meanings, and in the most schematic, may encapsulate any stance that promotes the secular in any given context.[2][3] It may connote anticlericalism, atheism, antitheism, naturalism, non-sectarianism, secularity, neutrality on topics of religion, or the (complete) removal of religious symbols from public institutions.[4]

Freedom of religion
show
Concepts
show
Status by country
show
Religious persecution
Religion portal
vte
As a philosophy, secularism seeks to interpret life based on principles derived solely from the material world, without recourse to religion. It shifts the focus from religion towards ""temporal"" and material concerns.[5]

There are distinct traditions of secularism in the West, like the French, Turkish and Anglo-American models, and beyond, as in India,[4] where the emphasis is more on equality before law and state neutrality rather than blanket separation. The purposes and arguments in support of secularism vary widely, ranging from assertions that it is a crucial element of modernization, or that religion and traditional values are backward and divisive, to the claim that it is the only guarantor of free religious exercise."
islamic,"Islam (/ˈɪslɑːm/;[a] Arabic: اَلْإِسْلَامُ‎, romanized: al-’Islām, [ɪsˈlaːm] (About this soundlisten) ""submission [to God]"")[1] is an Abrahamic monotheistic religion teaching that Muhammad is a messenger of God.[2][3] It is the world's second-largest religion with 1.9 billion followers, or 24.9% of the world's population,[4][5] known as Muslims.[6] Muslims make up a majority of the population in 47 countries.[7][8] Islam teaches that God is merciful, all-powerful, and unique,[9] and has guided humanity through prophets, revealed scriptures, and natural signs.[3][10] The primary scriptures of Islam are the Quran, believed to be the verbatim word of God, as well as the teachings and normative examples (called the sunnah, composed of accounts called hadith) of Muhammad (c. 570 – 632 CE).[11]

Muslims believe that Islam is the complete and universal version of a primordial faith that was revealed many times before through prophets such as Adam, Abraham, Moses, and Jesus.[12] Muslims consider the Quran, in Arabic, to be the unaltered and final revelation of God.[13] Like other Abrahamic religions, Islam also teaches a final judgment with the righteous rewarded in paradise and the unrighteous punished in hell.[14] Religious concepts and practices include the Five Pillars of Islam, which are obligatory acts of worship, as well as following Islamic law (sharia), which touches on virtually every aspect of life and society, from banking and welfare to women and the environment.[15][16] The cities of Mecca, Medina and Jerusalem are home to the three holiest sites in Islam.[17]

From a historical point of view, Islam originated in early 7th century CE in the Arabian Peninsula, in Mecca,[18] and by the 8th century, the Umayyad Caliphate extended from Iberia in the west to the Indus River in the east. The Islamic Golden Age refers to the period traditionally dated from the 8th century to the 13th century, during the Abbasid Caliphate, when much of the historically Muslim world was experiencing a scientific, economic, and cultural flourishing.[19][20][21] The expansion of the Muslim world involved various states and caliphates such as the Ottoman Empire, trade, and conversion to Islam by missionary activities (dawah).[22]

Most Muslims are of one of two denominations: Sunni (85–90%)[23] or Shia (10–15%).[24][25][26] Sunni and Shia differences arose from disagreement over the succession to Muhammad and acquired broader political significance, as well as theological and juridical dimensions.[27] About 12% of Muslims live in Indonesia, the most populous Muslim-majority country;[28] 31% live in South Asia,[29] the largest percentage of Muslims in the world;[30] 20% in the Middle East–North Africa, where it is the dominant religion;[31] and 15% in sub-Saharan Africa.[31] Sizable Muslim communities can also be found in the Americas, China, and Europe.[32][33] Islam is the fastest-growing major religion in the world.[34][35]"
teacjers,teachers
bias,bias
maine,"Maine (/meɪn/ (About this soundlisten)) is a state in the New England region of the United States, bordered by New Hampshire to the west; the Atlantic Ocean to the southeast; and the Canadian provinces of New Brunswick and Quebec to the northeast and northwest, respectively. Maine is the 12th-smallest by area, the 9th-least populous, the 13th-least densely populated, and the most rural[13] of the 50 U.S. states. It is also the northeasternmost among the contiguous United States, the northernmost state east of the Great Lakes, the only state whose name consists of a single syllable, and the only state to border only one other US state. The most populous city in Maine is Portland, while its capital is Augusta.

Maine has traditionally been known for its jagged, rocky Atlantic oceanic and bayshore coastlines; smoothly-contoured mountains; heavily forested interior; picturesque waterways; and its wild lowbush blueberries and seafood cuisine, especially lobster and clams. In more recent years, coastal and Down East Maine, especially in the vicinity of Portland, have emerged as an important center for the creative economy,[14] which is also bringing gentrification.[15]

For thousands of years after the glaciers retreated during the last Ice Age, indigenous peoples were the only inhabitants of the territory that is now Maine. At the time of European arrival, several Algonquian-speaking peoples inhabited the area. The first European settlement in the area was by the French in 1604 on Saint Croix Island, founded by Pierre Dugua, Sieur de Mons. The first English settlement was the short-lived Popham Colony, established by the Plymouth Company in 1607. A number of English settlements were established along the coast of Maine in the 1620s, although the rugged climate and conflict with the local indigenous people caused many to fail.

As Maine entered the 18th century, only a half dozen European settlements had survived. Loyalist and Patriot forces contended for Maine's territory during the American Revolution. During the War of 1812, the largely undefended eastern region of Maine was occupied by British forces with the goal of annexing it to Canada via the Colony of New Ireland, but returned to the United States following failed British offensives on the northern border, mid-Atlantic and south which produced a peace treaty that restored the pre-war boundaries. Maine was part of the Commonwealth of Massachusetts until 1820 when it voted to secede from Massachusetts to become a separate state. On March 15, 1820, under the Missouri Compromise, it was admitted to the Union as the 23rd state."
water access in maine,"Maine (/meɪn/ (About this soundlisten)) is a state in the New England region of the United States, bordered by New Hampshire to the west; the Atlantic Ocean to the southeast; and the Canadian provinces of New Brunswick and Quebec to the northeast and northwest, respectively. Maine is the 12th-smallest by area, the 9th-least populous, the 13th-least densely populated, and the most rural[13] of the 50 U.S. states. It is also the northeasternmost among the contiguous United States, the northernmost state east of the Great Lakes, the only state whose name consists of a single syllable, and the only state to border only one other US state. The most populous city in Maine is Portland, while its capital is Augusta.

Maine has traditionally been known for its jagged, rocky Atlantic oceanic and bayshore coastlines; smoothly-contoured mountains; heavily forested interior; picturesque waterways; and its wild lowbush blueberries and seafood cuisine, especially lobster and clams. In more recent years, coastal and Down East Maine, especially in the vicinity of Portland, have emerged as an important center for the creative economy,[14] which is also bringing gentrification.[15]

For thousands of years after the glaciers retreated during the last Ice Age, indigenous peoples were the only inhabitants of the territory that is now Maine. At the time of European arrival, several Algonquian-speaking peoples inhabited the area. The first European settlement in the area was by the French in 1604 on Saint Croix Island, founded by Pierre Dugua, Sieur de Mons. The first English settlement was the short-lived Popham Colony, established by the Plymouth Company in 1607. A number of English settlements were established along the coast of Maine in the 1620s, although the rugged climate and conflict with the local indigenous people caused many to fail.

As Maine entered the 18th century, only a half dozen European settlements had survived. Loyalist and Patriot forces contended for Maine's territory during the American Revolution. During the War of 1812, the largely undefended eastern region of Maine was occupied by British forces with the goal of annexing it to Canada via the Colony of New Ireland, but returned to the United States following failed British offensives on the northern border, mid-Atlantic and south which produced a peace treaty that restored the pre-war boundaries. Maine was part of the Commonwealth of Massachusetts until 1820 when it voted to secede from Massachusetts to become a separate state. On March 15, 1820, under the Missouri Compromise, it was admitted to the Union as the 23rd state."
motivation,motivation
difficulty of getting a job,"Unemployment generally falls during periods of economic prosperity and rises during recessions, creating significant pressure on public finances as tax revenue falls and social safety net costs increase. Government spending and taxation decisions (fiscal policy) and U.S. Federal Reserve interest rate adjustments (monetary policy) are important tools for managing the unemployment rate. There may be an economic trade-off between unemployment and inflation, as policies designed to reduce unemployment can create inflationary pressure, and vice versa. The U.S. Federal Reserve (the Fed) has a dual mandate to achieve full employment while maintaining a low rate of inflation. The major political parties debate appropriate solutions for improving the job creation rate, with liberals arguing for more government spending and conservatives arguing for lower taxes and less regulation. Polls indicate that Americans believe job creation is the most important government priority, with not sending jobs overseas the primary solution.[3]

Unemployment can be measured in several ways. A person is defined as unemployed in the United States if they are jobless, but have looked for work in the last four weeks and are available for work. People who are neither employed nor defined as unemployed are not included in the labor force calculation. For example, as of September 2017, the unemployment rate (formally defined as the ""U-3"" rate) in the United States was 4.2% representing 6.8 million unemployed people.[4][5] The unemployment rate was calculated by dividing the number of unemployed by the number in the civilian labor force (age 16+, non-military and not incarcerated) of approximately 159.6 million people,[6] relative to a U.S. population of approximately 326 million people.[7] The historical average unemployment rate (January 1948-September 2020) is 5.8%.[4] The government's broader U-6 unemployment rate, which includes the part-time underemployed was 8.3% in September 2017.[8][9] Both of these rates fell steadily from 2010 to 2019; the U-3 rate was below the November 2007 level that preceded the Great Recession by November 2016, while the U-6 rate did not fully recover until August 2017.[4][8]

The U.S. Bureau of Labor Statistics (BLS) publishes a monthly ""Employment Situation Summary"" with key statistics and commentary.[10] As of June 2018, approximately 128.6 million people in the United States have found full-time work (at least 35 hours a week in total), while 27.0 million worked part-time.[11] There were 4.7 million working part-time for economic reasons, meaning they wanted but could not find full-time work, the lowest level since January 2008.[12]

The vast majority of persons outside the civilian labor force (age 16+) are there by choice. The BLS reported that in July 2018, there were 94.1 million persons age 16+ outside the labor force. Of these, 88.6 million (94%) did not want a job while 5.5 million (6%) wanted a job.[13] Key reasons persons age 16+ are outside the labor force include retired, disabled or illness, attending school, and caregiving.[14] The Congressional Budget Office reported that as of December 2017, the primary reason for men age 25–54 to be outside the labor force was illness/disability (50% or 3.5 million), while the primary reason for women was due to family care-giving (60% or 9.6 million).[15]

The Congressional Budget Office estimated that the U.S. was approximately 2.5 million workers below full employment as of the end of 2015 and 1.6 million at December 31, 2016, mainly due to lower labor force participation. This was very close to full employment, indicating a strong economy.[16] As of May 2018, there were more job openings (6.6 million) than people defined as unemployed (6.0 million) in the U.S.[17][18][19]

In September 2019, the U.S. unemployment rate dropped to 3.5%, near the lowest rate in 50 years.[20] On May 8, 2020, the Bureau of Labor Statistics reported that 20.5 million nonfarm jobs were lost and the unemployment rate rose to 14.7 percent in April, due to the Coronavirus pandemic in the United States.[21]"
un,"The United Nations (UN) is an intergovernmental organization aiming to maintain international peace and security, develop friendly relations among nations, achieve international cooperation, and be a centre for harmonizing the actions of nations.[2] It is the world's largest and most familiar international organization.[3] The UN is headquartered on international territory in New York City and has other main offices in Geneva, Nairobi, Vienna, and The Hague.

The UN was established after World War II with the aim of preventing future wars, succeeding the ineffective League of Nations.[4] On 25 April 1945, 50 governments met in San Francisco for a conference and started drafting the UN Charter, which was adopted on 25 June 1945 and took effect on 24 October 1945, when the UN began operations. Pursuant to the Charter, the organization's objectives include maintaining international peace and security, protecting human rights, delivering humanitarian aid, promoting sustainable development, and upholding international law.[5] At its founding, the UN had 51 member states; with the addition of South Sudan in 2011, membership is now 193, representing almost all of the world's sovereign states.[6]

The organization's mission to preserve world peace was complicated in its early decades by the Cold War between the United States and Soviet Union and their respective allies. Its missions have consisted primarily of unarmed military observers and lightly armed troops with primarily monitoring, reporting and confidence-building roles.[7] UN membership grew significantly following widespread decolonization beginning in the 1960s. Since then, 80 former colonies have gained independence, including 11 trust territories that had been monitored by the Trusteeship Council.[8] By the 1970s, the UN's budget for economic and social development programmes far outstripped its spending on peacekeeping. After the end of the Cold War, the UN shifted and expanded its field operations, undertaking a wide variety of complex tasks.[9]

The UN has six principal organs: the General Assembly; the Security Council; the Economic and Social Council (ECOSOC); the Trusteeship Council; the International Court of Justice; and the UN Secretariat. The UN System includes a multitude of specialized agencies, funds and programmes such as the World Bank Group, the World Health Organization, the World Food Programme, UNESCO, and UNICEF. Additionally, non-governmental organizations may be granted consultative status with ECOSOC and other agencies to participate in the UN's work.

The UN's chief administrative officer is the Secretary-General, currently Portuguese politician and diplomat António Guterres, who began his first five year-term on 1 January 2017 and was re-elected on 8 June 2021. The organization is financed by assessed and voluntary contributions from its member states.

The UN, its officers, and its agencies have won many Nobel Peace Prizes, though other evaluations of its effectiveness have been mixed. Some commentators believe the organization to be an important force for peace and human development, while others have called it ineffective, biased, or corrupt."
cons of home schooling,"Homeschooling or home schooling, also known as home education or elective home education (EHE), is the education of school-aged children at home or a variety of places other than school.[1] Usually conducted by a parent, tutor, or an online teacher, many homeschool families use less formal, more personalized and individualized methods of learning that are not always found in schools. The actual practice of homeschooling can look very different. The spectrum ranges from highly structured forms based on traditional school lessons to more open, free forms such as unschooling, which is a lesson- and curriculum-free implementation of homeschooling. Some families who initially attended a school go through a deschool phase to break away from school habits and prepare for homeschooling. While ""homeschooling"" is the term commonly used in North America, ""home education"" is primarily used in Europe and many Commonwealth countries. Homeschooling shouldn't be confused with distance education, which generally refers to the arrangement where the student is educated by and conforms to the requirements of an online school, rather than being educated independently and unrestrictedly by their parents or by themselves.

Before the introduction of compulsory school attendance laws, most childhood education was done by families and local communities. By the early 19th century, attending a school became the most common means of education in the developed world. In the mid to late 20th century, more people began questioning the efficiency and sustainability of school learning, which again led to an increase in the number of homeschoolers, especially in the Americas and some European countries. Today, homeschooling is a relatively widespread form of education and a legal alternative to public and private schools in many countries, which many people believe is due to the rise of the Internet, which enables people to obtain information very quickly. There are also nations in which homeschooling is regulated or illegal, as recorded in the article Homeschooling international status and statistics. During the COVID-19 pandemic, many students from all over the world had to study from home due to the danger posed by the virus. However, this was mostly implemented in the form of distance education rather than traditional homeschooling.

There are many different reasons for homeschooling, ranging from personal interests to dissatisfaction with the public school system. Some parents see better educational opportunities for their child in homeschooling, for example because they know their child more accurately than a teacher and can concentrate fully on educating usually one to a few persons and therefore can respond more precisely to their individual strengths and weaknesses, or because they think that they can better prepare their children for the life outside of school. Some children can also learn better at home, for example, because they are not held back, disturbed or distracted from school matters, do not feel underchallenged or overwhelmed with certain topics, find that certain temperaments are encouraged in school, while others are inhibited, do not cope well with the very predetermined structure in school or are bullied there. Homeschooling is also an option for families living in remote rural areas, those temporarily abroad, those who travel frequently and therefore face the physical impossibility or difficulty of getting their children into school and families who want to spend more and better time with their children. Health reasons and special needs can also play a role in why children cannot attend a school regularly and are at least partially homeschooled.

Critics of homeschooling argue that children may lack social contact at home, possibly resulting in children having poorer social skills. Some are also concerned that some parents may not have the skills required to guide and advise their children in life skills. Critics also say that a child might not encounter people of other cultures, worldviews, and socioeconomic groups if they are not enrolled in a school. Therefore, these critics believe that homeschooling cannot guarantee a comprehensive and neutral education and children can be indoctrinated and manipulated when there is no external influence and surveillance by controlling authorities. There are many studies that show that homeschooled children score better on standardized tests and have equal or higher developed social skills and participate more in cultural and family activities on average than public school students.[2][3] In addition, studies suggest that homeschoolers are generally more likely to have higher self-esteem, deeper friendships, and better relationships with adults, and are less susceptible to peer pressure.[4][3]"
con of home schooling,"Homeschooling or home schooling, also known as home education or elective home education (EHE), is the education of school-aged children at home or a variety of places other than school.[1] Usually conducted by a parent, tutor, or an online teacher, many homeschool families use less formal, more personalized and individualized methods of learning that are not always found in schools. The actual practice of homeschooling can look very different. The spectrum ranges from highly structured forms based on traditional school lessons to more open, free forms such as unschooling, which is a lesson- and curriculum-free implementation of homeschooling. Some families who initially attended a school go through a deschool phase to break away from school habits and prepare for homeschooling. While ""homeschooling"" is the term commonly used in North America, ""home education"" is primarily used in Europe and many Commonwealth countries. Homeschooling shouldn't be confused with distance education, which generally refers to the arrangement where the student is educated by and conforms to the requirements of an online school, rather than being educated independently and unrestrictedly by their parents or by themselves.

Before the introduction of compulsory school attendance laws, most childhood education was done by families and local communities. By the early 19th century, attending a school became the most common means of education in the developed world. In the mid to late 20th century, more people began questioning the efficiency and sustainability of school learning, which again led to an increase in the number of homeschoolers, especially in the Americas and some European countries. Today, homeschooling is a relatively widespread form of education and a legal alternative to public and private schools in many countries, which many people believe is due to the rise of the Internet, which enables people to obtain information very quickly. There are also nations in which homeschooling is regulated or illegal, as recorded in the article Homeschooling international status and statistics. During the COVID-19 pandemic, many students from all over the world had to study from home due to the danger posed by the virus. However, this was mostly implemented in the form of distance education rather than traditional homeschooling.

There are many different reasons for homeschooling, ranging from personal interests to dissatisfaction with the public school system. Some parents see better educational opportunities for their child in homeschooling, for example because they know their child more accurately than a teacher and can concentrate fully on educating usually one to a few persons and therefore can respond more precisely to their individual strengths and weaknesses, or because they think that they can better prepare their children for the life outside of school. Some children can also learn better at home, for example, because they are not held back, disturbed or distracted from school matters, do not feel underchallenged or overwhelmed with certain topics, find that certain temperaments are encouraged in school, while others are inhibited, do not cope well with the very predetermined structure in school or are bullied there. Homeschooling is also an option for families living in remote rural areas, those temporarily abroad, those who travel frequently and therefore face the physical impossibility or difficulty of getting their children into school and families who want to spend more and better time with their children. Health reasons and special needs can also play a role in why children cannot attend a school regularly and are at least partially homeschooled.

Critics of homeschooling argue that children may lack social contact at home, possibly resulting in children having poorer social skills. Some are also concerned that some parents may not have the skills required to guide and advise their children in life skills. Critics also say that a child might not encounter people of other cultures, worldviews, and socioeconomic groups if they are not enrolled in a school. Therefore, these critics believe that homeschooling cannot guarantee a comprehensive and neutral education and children can be indoctrinated and manipulated when there is no external influence and surveillance by controlling authorities. There are many studies that show that homeschooled children score better on standardized tests and have equal or higher developed social skills and participate more in cultural and family activities on average than public school students.[2][3] In addition, studies suggest that homeschoolers are generally more likely to have higher self-esteem, deeper friendships, and better relationships with adults, and are less susceptible to peer pressure.[4][3]"
educational problems,educational problems
fashion,fashion
social media influencing fashion decisions,social media influencing fashion decisions
online medical information,online medical information
prison,prison
favoratism of cities for high earners,"There are wide varieties of economic inequality, most notably measured using the distribution of income (the amount of money people are paid) and the distribution of wealth (the amount of wealth people own). Besides economic inequality between countries or states, there are important types of economic inequality between different groups of people.[2]

Important types of economic measurements focus on wealth, income, and consumption. There are many methods for measuring economic inequality,[3] the Gini coefficient being a widely used one. Another type of measure is the Inequality-adjusted Human Development Index, which is a statistic composite index that takes inequality into account.[4] Important concepts of equality include equity, equality of outcome, and equality of opportunity.

Research suggests that greater inequality hinders economic growth, and that land and human capital inequality reduce growth more than inequality of income.[5] Whereas globalization has reduced global inequality (between nations), it has increased inequality within nations.[6][7][8] Research has generally linked economic inequality to political instability, including revolution,[9] democratic breakdown[10] and civil conflict.[11]

Global income inequality peaked approximately in the 1970s, when world income was distributed bimodally into ""rich"" and ""poor"" countries with little overlap. Since then, inequality has been rapidly decreasing, and this trend seems to be accelerating. Income distribution is now unimodal, with most people living in middle-income countries.[12]"
intercollegiate sports,The term “intercollegiate sport” means a sport played at the collegiate level for which eligibility requirements for participation by a student athlete are established by a national association for the promotion or regulation of college athletics.
editors of the times,"The New York Times (N.Y.T. or N.Y. Times) is an American daily newspaper based in New York City with a worldwide readership.[7][8] Founded in 1851, the Times has since won 132 Pulitzer Prizes (the most of any newspaper),[9] and has long been regarded within the industry as a national ""newspaper of record"".[10] It is ranked 18th in the world by circulation and 3rd in the U.S.[11]

The paper is owned by The New York Times Company, which is publicly traded. It has been governed by the Sulzberger family since 1896, through a dual-class share structure after its shares became publicly traded.[12] A. G. Sulzberger and his father, Arthur Ochs Sulzberger Jr.—the paper's publisher and the company's chairman, respectively—are the fifth and fourth generation of the family to head the paper.[13]

Since the mid-1970s, The New York Times has expanded its layout and organization, adding special weekly sections on various topics supplementing the regular news, editorials, sports, and features. Since 2008,[14] the Times has been organized into the following sections: News, Editorials/Opinions-Columns/Op-Ed, New York (metropolitan), Business, Sports, Arts, Science, Styles, Home, Travel, and other features.[15] On Sundays, the Times is supplemented by the Sunday Review (formerly the Week in Review),[16] The New York Times Book Review,[17] The New York Times Magazine,[18] and T: The New York Times Style Magazine.[19]"
balanced diet,"A healthy diet is a diet that helps maintain or improve overall health. A healthy diet provides the body with essential nutrition: fluid, macronutrients, micronutrients, and adequate food energy.[2][3]

A healthy diet may contain fruits, vegetables, and whole grains, and may include little to no processed food or sweetened beverages. The requirements for a healthy diet can be met from a variety of plant-based and animal-based foods, although a non-plant source of vitamin B12 is needed for those following a vegan diet.[4] Various nutrition guides are published by medical and governmental institutions to educate individuals on what they should be eating to be healthy. Nutrition facts labels are also mandatory in some countries to allow consumers to choose between foods based on the components relevant to health.[5][6]"
healthy diet,"A healthy diet is a diet that helps maintain or improve overall health. A healthy diet provides the body with essential nutrition: fluid, macronutrients, micronutrients, and adequate food energy.[2][3]

A healthy diet may contain fruits, vegetables, and whole grains, and may include little to no processed food or sweetened beverages. The requirements for a healthy diet can be met from a variety of plant-based and animal-based foods, although a non-plant source of vitamin B12 is needed for those following a vegan diet.[4] Various nutrition guides are published by medical and governmental institutions to educate individuals on what they should be eating to be healthy. Nutrition facts labels are also mandatory in some countries to allow consumers to choose between foods based on the components relevant to health.[5][6]"
well balanced diet,"A healthy diet is a diet that helps maintain or improve overall health. A healthy diet provides the body with essential nutrition: fluid, macronutrients, micronutrients, and adequate food energy.[2][3]

A healthy diet may contain fruits, vegetables, and whole grains, and may include little to no processed food or sweetened beverages. The requirements for a healthy diet can be met from a variety of plant-based and animal-based foods, although a non-plant source of vitamin B12 is needed for those following a vegan diet.[4] Various nutrition guides are published by medical and governmental institutions to educate individuals on what they should be eating to be healthy. Nutrition facts labels are also mandatory in some countries to allow consumers to choose between foods based on the components relevant to health.[5][6]"
nuclear agreement,"The Joint Comprehensive Plan of Action (JCPOA; Persian: برنامه جامع اقدام مشترک‎, romanized: barnāmeye jāme'e eqdāme moshtarak (برجام, BARJAM)),[4][5] known commonly as the Iran nuclear deal or Iran deal, is an agreement on the Iranian nuclear program reached in Vienna on 14 July 2015, between Iran and the P5+1 (the five permanent members of the United Nations Security Council—China, France, Russia, United Kingdom, United States—plus Germany)[a] together with the European Union.

Formal negotiations toward JCPOA began with the adoption of the Joint Plan of Action, an interim agreement signed between Iran and the P5+1 countries in November 2013. Iran and the P5+1 countries engaged in negotiations for the next 20 months and, in April 2015, agreed on a framework for the final agreement. In July 2015, Iran and the P5+1 confirmed agreement on the plan, along with the ""Roadmap Agreement"" between Iran and the IAEA.[8]"
getting rid of the humanities,getting rid of the humanities
marjiuana use,"Marijuana—which can also be called cannabis, weed, pot, or dope—refers to the dried flowers, leaves, stems, and seeds of the cannabis plant. The cannabis plant contains more than 100 compounds (or cannabinoids). These compounds include tetrahydrocannabinol (THC), which is impairing or mind-altering, as well as other active compounds, such as cannabidiol (CBD). CBD is not impairing, meaning it does not cause a “high”.1

Marijuana is the most commonly used federally illegal drug in the United States, with an estimated 48.2 million people using it in 2019.2 Marijuana use may have a wide range of health effects on the body and brain. Click on the sections below to learn more about how marijuana use can affect your health."
extreme paretning,"The definition of extreme parenting can be somewhat subjective and open to debate. Generally, parenting tactics and principles that swim upstream and fly in the face of convention qualify for extreme parenting. If you don’t like following the rules, preferring to make your own goals and guidelines, you may be an extreme parent, too. The drive for children to succeed academically can be a high priority for some parents. Toward this end, a parent might exert extreme pressure on the child, with punishments and loss of privileges if the child does not meet expectations. Results of these high academic standards can be discipline, ethics, confidence and intelligence, states C. Cindy Fan, UCLA associate dean of social sciences. However, high academic expectations and rigid scheduling may also cause undue stress for children. Setting more realistic expectations for a child's academic performance may produce better academic results, states Sandra L. Christenson, Ph.D. and Cathryn Peterson, teacher, with the University of Minnesota Extension."
nation,nation
underemployment,"Underemployment is the underuse of a worker because a job does not use the worker's skills, is part-time, or leaves the worker idle.[2] Examples include holding a part-time job despite desiring full-time work, and overqualification, in which the employee has education, experience, or skills beyond the requirements of the job.[3][4]

Underemployment has been studied from a variety of perspectives, including economics, management, psychology, and sociology. In economics, for example, the term underemployment has three different distinct meanings and applications. All of the meanings involve a situation in which a person is working, unlike unemployment, where a person who is searching for work cannot find a job. All meanings involve under-utilization of labor which is missed by most official (governmental agency) definitions and measurements of unemployment.

In economics, underemployment can refer to:

""Overqualification"", or ""overeducation"", or the employment of workers with high education, skill levels, or experience in jobs that do not require such abilities.[5] For example, a trained medical doctor with a foreign credential who works as a taxi driver would experience this type of underemployment.
""Involuntary part-time"" work, where workers who could (and would like to) be working for a full work-week can only find part-time work. By extension, the term is also used in regional planning to describe regions where economic activity rates are unusually low, due to a lack of job opportunities, training opportunities, or due to a lack of services such as childcare and public transportation.
""Overstaffing"" or ""hidden unemployment"" or ""disguised unemployment"" (also called ""labor hoarding""[6]), the practice in which businesses or entire economies employ workers who are not fully occupied; for example, workers currently not being used to produce goods or services due to legal or social restrictions or because the work is highly seasonal.
Underemployment is a significant cause of poverty because although the worker may be able to find part-time work, the part-time pay may not be sufficient for basic needs. Underemployment is a problem particularly in developing countries, where the unemployment rate is often quite low, as most workers are doing subsistence work or occasional part-time jobs. The global average of full-time workers per adult population is only 26%, compared to 30–52% in developed countries and 5–20% in most of Africa.[7]"
myriad's patents should only cover their procedures not chemicals,myriad's patents should only cover their procedures not chemicals
brca chemicals proprietary,"What Is BRCA?

The name “BRCA” is an abbreviation for “BReast CAncer gene.” BRCA1 and BRCA2 are two different genes that have been found to impact a person’s chances of developing breast cancer.

Every human has both the BRCA1 and BRCA2 genes. Despite what their names might suggest, BRCA genes do not cause breast cancer. In fact, these genes normally play a big role in preventing breast cancer. They help repair DNA breaks that can lead to cancer and the uncontrolled growth of tumors. Because of this, the BRCA genes are known as tumor suppressor genes.

However, in some people these tumor suppression genes do not work properly. When a gene becomes altered or broken, it doesn’t function correctly. This is called a gene mutation."
dictator,"A dictator is a political leader who possesses absolute power. A dictatorship is a state ruled by one dictator or by a small clique.[2] The word originated as the title of a Roman dictator elected by the Roman Senate to rule the republic in times of emergency (see Roman dictator and justitium).[3]

Like the term ""tyrant"", and to a lesser degree ""autocrat"", ""dictator"" came to be used almost exclusively as a non-titular term for oppressive rule. In modern usage the term ""dictator"" is generally used to describe a leader who holds or abuses an extraordinary amount of personal power. Dictatorships are often characterised by some of the following: suspension of elections and civil liberties; proclamation of a state of emergency; rule by decree; repression of political opponents; not abiding by the rule of law procedures, and cult of personality. Dictatorships are often one-party or dominant-party states.[4][5]

A wide variety of leaders coming to power in different kinds of regimes, such as one-party states, dominant-party states, and civilian governments under a personal rule, have been described as dictators. They may hold left or right-wing views."
responsibility,responsibility
gay,gay
